epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7399,0.93503,2.78881,1.16196,0.00605,1,0.62458,0.51762,0.40874,2.67883,0.84535,0.00016,0.00016,0.00016
2,89.7137,0.74584,1.51907,1.04035,1,0.23596,0.53859,0.42818,0.66433,2.72491,0.978,0.000336634,0.000336634,0.000336634
3,131.485,0.78207,1.36299,1.01622,0.91024,0.29408,0.83726,0.67088,0.64434,2.52412,0.90972,0.000509704,0.000509704,0.000509704
4,172.592,0.7424,1.30858,1.00453,0.95253,0.58168,0.84197,0.66443,0.82719,2.5057,1.03068,0.00067921,0.00067921,0.00067921
5,213.48,0.77549,1.16499,1.01565,0.96477,0.43478,0.67661,0.56027,0.93606,2.89548,1.16838,0.000845152,0.000845152,0.000845152
6,254.251,0.7343,1.1183,0.98338,0.83736,0.6716,0.77925,0.62593,0.6048,1.96809,0.89156,0.00100753,0.00100753,0.00100753
7,296.085,0.67115,1.03237,0.96339,0.48474,0.34783,0.35496,0.24047,0.90823,2.99194,1.22763,0.00116634,0.00116634,0.00116634
8,338.053,0.68767,1.01437,0.98167,0.81153,0.74889,0.76265,0.64287,0.8187,2.26549,1.16156,0.00132159,0.00132159,0.00132159
9,380.299,0.74977,0.92362,0.96597,0.79662,0.6087,0.74272,0.61769,0.73188,1.55141,0.94413,0.00147328,0.00147328,0.00147328
10,422.733,0.72291,0.96554,0.96772,0.72562,0.62319,0.72438,0.59977,0.6368,1.42074,0.91862,0.0016214,0.0016214,0.0016214
11,465.146,0.78166,0.97545,1.01083,0.90209,0.66765,0.82921,0.69684,0.62584,1.15211,0.88592,0.00176596,0.00176596,0.00176596
12,507.525,0.75551,0.91648,0.97488,0.83161,0.81159,0.88126,0.73755,0.62353,1.03737,0.88266,0.0017822,0.0017822,0.0017822
13,549.904,0.67496,0.86828,0.95471,0.6752,0.81348,0.78942,0.65465,0.60856,1.3776,0.89038,0.0017624,0.0017624,0.0017624
14,592.192,0.68848,0.87759,0.95839,0.75388,0.71027,0.80886,0.62906,0.72722,1.62835,0.95578,0.0017426,0.0017426,0.0017426
15,634.557,0.68773,0.83583,0.95064,0.86386,0.82769,0.9012,0.74677,0.63097,1.17739,0.89586,0.0017228,0.0017228,0.0017228
16,677.163,0.74116,0.83036,0.97696,0.83184,0.86037,0.89494,0.68529,0.73236,1.03228,0.99011,0.001703,0.001703,0.001703
17,720.132,0.70744,0.79382,0.97013,0.90036,0.94203,0.91712,0.77087,0.61177,1.31849,0.89133,0.0016832,0.0016832,0.0016832
18,762.512,0.69871,0.73131,0.95968,0.88529,0.89855,0.88763,0.74157,0.62139,1.42996,0.89282,0.0016634,0.0016634,0.0016634
19,805.543,0.69573,0.76285,0.95478,0.85488,0.88406,0.91462,0.77969,0.60052,0.96861,0.88301,0.0016436,0.0016436,0.0016436
20,848.53,0.69121,0.73374,0.9595,0.92566,0.78261,0.90357,0.78088,0.55485,0.83867,0.88473,0.0016238,0.0016238,0.0016238
21,890.883,0.69412,0.7519,0.98413,0.97464,0.84058,0.93315,0.80663,0.54376,0.82165,0.87663,0.001604,0.001604,0.001604
22,1357.42,0.64307,0.66857,0.95971,0.94015,0.91304,0.95417,0.80842,0.5903,0.74788,0.90442,0.0015842,0.0015842,0.0015842
23,1401.2,0.64081,0.6437,0.92699,0.95089,0.91304,0.94795,0.808,0.59961,0.728,0.8928,0.0015644,0.0015644,0.0015644
24,1451.9,0.63135,0.69292,0.93945,0.95446,0.86957,0.95234,0.82031,0.54312,0.6914,0.87909,0.0015446,0.0015446,0.0015446
25,1500.24,0.6313,0.66329,0.94253,0.95239,0.92754,0.96462,0.84737,0.52088,0.64064,0.86975,0.0015248,0.0015248,0.0015248
26,1543.31,0.64761,0.65199,0.94191,0.95508,0.92449,0.96908,0.82405,0.51743,0.61076,0.87492,0.001505,0.001505,0.001505
27,1587.8,0.59496,0.61625,0.92508,0.95575,0.93918,0.97116,0.81969,0.53095,0.62014,0.87736,0.0014852,0.0014852,0.0014852
28,1632.59,0.55705,0.59308,0.91286,0.95397,0.90108,0.96291,0.82976,0.52869,0.64662,0.86685,0.0014654,0.0014654,0.0014654
29,1674.5,0.58141,0.58671,0.92388,0.95363,0.89425,0.95552,0.8316,0.4969,0.66551,0.84847,0.0014456,0.0014456,0.0014456
30,1716.7,0.62333,0.61111,0.93615,0.9549,0.92056,0.96527,0.85129,0.49419,0.7053,0.84946,0.0014258,0.0014258,0.0014258
31,1759.16,0.59132,0.57979,0.92982,0.92767,0.92754,0.95012,0.83411,0.47609,0.62867,0.851,0.001406,0.001406,0.001406
32,1801.33,0.58127,0.56036,0.91573,0.95335,0.88855,0.952,0.83479,0.47119,0.53084,0.84732,0.0013862,0.0013862,0.0013862
33,1843.63,0.59242,0.54143,0.92616,0.88252,0.94203,0.96012,0.82982,0.46228,0.49073,0.85573,0.0013664,0.0013664,0.0013664
34,1885.88,0.59477,0.5713,0.92196,0.95341,0.89855,0.96087,0.84926,0.49019,0.54416,0.8562,0.0013466,0.0013466,0.0013466
35,1929.76,0.58731,0.53781,0.92609,0.93296,0.92754,0.96551,0.8413,0.51355,0.58458,0.86106,0.0013268,0.0013268,0.0013268
36,1972.57,0.57352,0.53766,0.92287,0.94112,0.92668,0.95652,0.83535,0.47334,0.54192,0.8553,0.001307,0.001307,0.001307
37,2016.99,0.58155,0.55633,0.9186,0.94075,0.92042,0.9608,0.84075,0.46418,0.51402,0.85565,0.0012872,0.0012872,0.0012872
