epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.876,1.37836,3.32336,1.28529,0.00856,0.78416,0.23678,0.16404,0.64075,3.20125,0.93429,0.00020006,0.00020006,0.00020006
2,248.334,1.24864,2.06853,1.1609,0.00959,0.82252,0.30961,0.2093,0.67325,2.9849,0.9378,0.000410307,0.000410307,0.000410307
3,333.654,1.1537,1.68502,1.13031,0.79424,0.18008,0.4459,0.31745,0.72203,2.73871,0.95974,0.000616311,0.000616311,0.000616311
4,419.59,1.11761,1.40551,1.10727,0.64812,0.29995,0.46473,0.30977,0.83858,2.54046,1.04874,0.00081807,0.00081807,0.00081807
5,502.991,1.04987,1.2443,1.09644,0.6396,0.50964,0.6117,0.42259,0.87989,1.99487,1.09822,0.00101558,0.00101558,0.00101558
6,584.297,1.04093,1.15792,1.08428,0.69664,0.6403,0.68602,0.46983,0.96704,1.9036,1.18623,0.00120886,0.00120886,0.00120886
7,663.604,0.998,1.12502,1.05997,0.64131,0.75644,0.76361,0.55151,0.84642,1.773,1.11305,0.00134412,0.00134412,0.00134412
8,743.007,0.98964,1.07403,1.05879,0.75541,0.79128,0.86052,0.6553,0.76695,1.73287,1.06163,0.00132997,0.00132997,0.00132997
9,822.801,0.95623,1.01536,1.03395,0.74977,0.78803,0.80729,0.62179,0.71818,1.84191,1.04504,0.00131582,0.00131582,0.00131582
10,902.131,0.92981,1.00663,1.03217,0.71873,0.77419,0.80987,0.61998,0.74407,1.87095,1.04042,0.00130168,0.00130168,0.00130168
11,984.381,0.94792,0.95353,1.01967,0.79498,0.85978,0.89247,0.70961,0.65715,1.35907,0.98423,0.00128753,0.00128753,0.00128753
12,1064.51,0.89798,0.90232,1.01068,0.84254,0.8342,0.91039,0.72484,0.62264,1.70272,0.93824,0.00127338,0.00127338,0.00127338
13,1145.22,0.93491,0.87784,1.02257,0.76659,0.80961,0.84095,0.64411,0.70035,1.80608,0.96586,0.00125923,0.00125923,0.00125923
14,1224.74,0.89664,0.89311,1.01917,0.78851,0.88088,0.88292,0.70748,0.64602,1.35365,0.95149,0.00124509,0.00124509,0.00124509
15,1304.54,0.86571,0.84428,1.01244,0.88468,0.83959,0.92538,0.74297,0.64965,1.22943,0.94761,0.00123094,0.00123094,0.00123094
